Instance;Repetition;Algorithm;Fitness;Real_Time
N-be75eec;3;Gradient_100_0.1_superlinear;234256;15.7241
N-be75eec;11;Gradient_100_0.1_superlinear;234117;16.3012
N-be75eec;16;Gradient_100_0.1_superlinear;234138;16.4349
N-be75np;16;Gradient_100_0.1_superlinear;715808;15.6581
N-be75oi;2;Gradient_100_0.1_superlinear;110883;15.3745
N-be75np;7;Gradient_100_0.1_superlinear;715265;13.7563
N-be75tot;11;Gradient_100_0.1_superlinear;977049;13.8409
N-be75np;9;Gradient_100_0.1_superlinear;713868;13.8749
N-be75oi;7;Gradient_100_0.1_superlinear;110883;15.9405
N-be75tot;15;Gradient_100_0.1_superlinear;978803;14.1164
N-be75np;12;Gradient_100_0.1_superlinear;715593;15.6788
N-be75tot;20;Gradient_100_0.1_superlinear;978740;13.7034
N-be75eec;17;Gradient_100_0.1_superlinear;234181;16.3457
N-be75eec;2;Gradient_100_0.1_superlinear;234063;15.7131
N-be75tot;6;Gradient_100_0.1_superlinear;976889;14.0069
N-be75eec;5;Gradient_100_0.1_superlinear;234112;15.5415
N-be75np;1;Gradient_100_0.1_superlinear;714335;13.6346
N-be75np;2;Gradient_100_0.1_superlinear;713813;13.8729
N-be75oi;12;Gradient_100_0.1_superlinear;110859;16.1387
N-be75oi;8;Gradient_100_0.1_superlinear;110877;15.9166
N-be75tot;3;Gradient_100_0.1_superlinear;979040;14.1139
N-be75eec;19;Gradient_100_0.1_superlinear;234099;16.3604
N-be75eec;1;Gradient_100_0.1_superlinear;234259;16.4539
N-be75np;15;Gradient_100_0.1_superlinear;713254;15.63
N-be75np;3;Gradient_100_0.1_superlinear;713661;13.6994
N-be75np;17;Gradient_100_0.1_superlinear;715792;15.8258
N-be75oi;15;Gradient_100_0.1_superlinear;110882;15.9449
N-be75eec;13;Gradient_100_0.1_superlinear;234171;16.3739
N-be75tot;14;Gradient_100_0.1_superlinear;975121;13.9237
N-be75oi;4;Gradient_100_0.1_superlinear;110810;15.3187
N-be75np;10;Gradient_100_0.1_superlinear;712847;13.8298
N-be75np;8;Gradient_100_0.1_superlinear;715662;13.8447
N-be75oi;20;Gradient_100_0.1_superlinear;110894;15.9319
N-t59b11xx;5;Gradient_100_0.1_superlinear;208270;7.81652
N-be75tot;9;Gradient_100_0.1_superlinear;978566;13.9821
N-be75tot;19;Gradient_100_0.1_superlinear;979086;14.0792
N-be75np;5;Gradient_100_0.1_superlinear;713326;13.746
N-be75tot;5;Gradient_100_0.1_superlinear;976501;14.05
N-be75tot;17;Gradient_100_0.1_superlinear;976911;14.0462
N-be75np;18;Gradient_100_0.1_superlinear;715770;15.8814
N-be75tot;2;Gradient_100_0.1_superlinear;978572;14.1035
N-stabu74;11;Gradient_100_0.1_superlinear;538572;31.1907
N-stabu74;19;Gradient_100_0.1_superlinear;538119;31.3451
N-stabu70;15;Gradient_100_0.1_superlinear;360681;29.6171
N-stabu70;8;Gradient_100_0.1_superlinear;359341;29.6681
N-be75oi;10;Gradient_100_0.1_superlinear;110844;15.9144
N-be75oi;16;Gradient_100_0.1_superlinear;110892;16.0362
N-stabu70;17;Gradient_100_0.1_superlinear;359925;31.0714
N-be75eec;4;Gradient_100_0.1_superlinear;234093;15.6878
N-be75np;19;Gradient_100_0.1_superlinear;713284;15.6336
N-be75np;6;Gradient_100_0.1_superlinear;714994;13.6715
N-stabu74;4;Gradient_100_0.1_superlinear;537253;29.5133
N-be75eec;12;Gradient_100_0.1_superlinear;234181;16.3484
N-stabu74;16;Gradient_100_0.1_superlinear;537259;31.2243
N-be75np;20;Gradient_100_0.1_superlinear;715093;15.6752
N-be75eec;14;Gradient_100_0.1_superlinear;234196;16.4653
N-be75tot;12;Gradient_100_0.1_superlinear;976776;14.1887
N-stabu74;8;Gradient_100_0.1_superlinear;536549;31.166
N-be75oi;14;Gradient_100_0.1_superlinear;110883;15.9464
N-t59b11xx;7;Gradient_100_0.1_superlinear;208270;9.43915
N-be75eec;7;Gradient_100_0.1_superlinear;234193;15.5292
N-be75oi;1;Gradient_100_0.1_superlinear;110864;15.6241
N-t59b11xx;8;Gradient_100_0.1_superlinear;208240;7.8147
N-be75eec;10;Gradient_100_0.1_superlinear;234140;16.2756
N-be75eec;9;Gradient_100_0.1_superlinear;234218;16.3149
N-be75tot;8;Gradient_100_0.1_superlinear;977096;14.0377
N-be75tot;7;Gradient_100_0.1_superlinear;978638;14.0544
N-be75tot;18;Gradient_100_0.1_superlinear;976793;14.0202
N-be75tot;10;Gradient_100_0.1_superlinear;975317;14.0677
N-be75eec;18;Gradient_100_0.1_superlinear;234081;16.3714
N-be75oi;3;Gradient_100_0.1_superlinear;110863;15.4604
N-be75np;4;Gradient_100_0.1_superlinear;715147;13.824
N-be75tot;1;Gradient_100_0.1_superlinear;977441;16.9932
N-be75eec;8;Gradient_100_0.1_superlinear;234146;16.2781
N-be75tot;4;Gradient_100_0.1_superlinear;978562;13.9881
N-t59b11xx;3;Gradient_100_0.1_superlinear;208360;7.71003
N-stabu74;6;Gradient_100_0.1_superlinear;536200;30.8924
N-be75oi;11;Gradient_100_0.1_superlinear;110828;15.857
N-be75oi;18;Gradient_100_0.1_superlinear;110886;16.922
N-be75oi;6;Gradient_100_0.1_superlinear;110911;16.0751
N-stabu75;13;Gradient_100_0.1_superlinear;550209;31.1071
N-be75eec;15;Gradient_100_0.1_superlinear;234193;16.4045
N-stabu70;19;Gradient_100_0.1_superlinear;359626;31.015
N-stabu74;10;Gradient_100_0.1_superlinear;536751;31.0285
N-stabu74;7;Gradient_100_0.1_superlinear;537657;31.2411
N-t59b11xx;10;Gradient_100_0.1_superlinear;208290;8.29117
N-stabu70;4;Gradient_100_0.1_superlinear;359966;25.7701
N-stabu75;12;Gradient_100_0.1_superlinear;548152;31.2453
N-be75eec;6;Gradient_100_0.1_superlinear;234076;15.5038
N-be75eec;20;Gradient_100_0.1_superlinear;234607;16.4897
N-be75np;13;Gradient_100_0.1_superlinear;713800;15.5672
N-t59b11xx;2;Gradient_100_0.1_superlinear;208320;9.81188
N-be75oi;13;Gradient_100_0.1_superlinear;110887;15.9625
N-t59b11xx;4;Gradient_100_0.1_superlinear;208270;9.38877
N-be75oi;9;Gradient_100_0.1_superlinear;110871;16.1117
N-be75tot;13;Gradient_100_0.1_superlinear;978234;13.9633
N-stabu74;15;Gradient_100_0.1_superlinear;538169;30.8834
N-stabu74;17;Gradient_100_0.1_superlinear;538172;31.1912
N-be75np;14;Gradient_100_0.1_superlinear;713713;15.7064
N-stabu75;9;Gradient_100_0.1_superlinear;549566;30.9277
N-be75oi;19;Gradient_100_0.1_superlinear;109831;16.1444
N-be75tot;16;Gradient_100_0.1_superlinear;976415;14.0606
N-stabu75;5;Gradient_100_0.1_superlinear;547929;30.7671
N-stabu75;3;Gradient_100_0.1_superlinear;550303;31.38
N-stabu70;1;Gradient_100_0.1_superlinear;359746;25.5945
N-be75np;11;Gradient_100_0.1_superlinear;713874;15.8677
N-stabu75;10;Gradient_100_0.1_superlinear;547360;30.9247
N-stabu75;4;Gradient_100_0.1_superlinear;548063;30.9084
N-stabu74;1;Gradient_100_0.1_superlinear;538031;29.5655
N-be75oi;5;Gradient_100_0.1_superlinear;110889;15.948
N-t59b11xx;17;Gradient_100_0.1_superlinear;208350;9.42585
N-t59d11xx;14;Gradient_100_0.1_superlinear;144687;9.33039
N-stabu74;9;Gradient_100_0.1_superlinear;537929;31.2048
N-t59f11xx;1;Gradient_100_0.1_superlinear;122464;9.49261
N-stabu75;11;Gradient_100_0.1_superlinear;549731;30.8117
N-t59b11xx;6;Gradient_100_0.1_superlinear;208280;9.58897
N-stabu74;5;Gradient_100_0.1_superlinear;536741;29.564
N-t59d11xx;11;Gradient_100_0.1_superlinear;147279;8.20103
N-be75oi;17;Gradient_100_0.1_superlinear;110858;16.0851
N-t59b11xx;18;Gradient_100_0.1_superlinear;208330;8.26778
N-t59d11xx;1;Gradient_100_0.1_superlinear;146620;9.78692
N-stabu70;18;Gradient_100_0.1_superlinear;359834;31.0782
N-stabu70;20;Gradient_100_0.1_superlinear;359028;31.0545
N-t59d11xx;7;Gradient_100_0.1_superlinear;144637;9.32694
N-stabu70;3;Gradient_100_0.1_superlinear;359606;25.6583
N-stabu75;7;Gradient_100_0.1_superlinear;550137;30.9759
N-t59d11xx;6;Gradient_100_0.1_superlinear;146654;8.14688
N-t59d11xx;12;Gradient_100_0.1_superlinear;147279;7.84245
N-t59f11xx;10;Gradient_100_0.1_superlinear;122465;9.78003
N-t59d11xx;4;Gradient_100_0.1_superlinear;146654;9.31896
N-stabu70;13;Gradient_100_0.1_superlinear;359751;29.6115
N-t59d11xx;10;Gradient_100_0.1_superlinear;144685;7.60722
N-stabu75;19;Gradient_100_0.1_superlinear;549732;25.2069
N-stabu75;20;Gradient_100_0.1_superlinear;549928;25.2885
N-t59d11xx;15;Gradient_100_0.1_superlinear;147354;8.1916
N-stabu70;12;Gradient_100_0.1_superlinear;359100;29.4505
N-t59b11xx;1;Gradient_100_0.1_superlinear;208310;7.74889
N-t59d11xx;2;Gradient_100_0.1_superlinear;144637;9.294
N-t59i11xx;5;Gradient_100_0.1_superlinear;8257102;9.37772
N-t59d11xx;19;Gradient_100_0.1_superlinear;144640;9.23506
N-t59i11xx;20;Gradient_100_0.1_superlinear;8257887;8.20508
N-stabu74;18;Gradient_100_0.1_superlinear;537969;31.2405
N-t59b11xx;15;Gradient_100_0.1_superlinear;208290;9.41068
N-t59i11xx;10;Gradient_100_0.1_superlinear;8257653;7.62352
N-t59d11xx;13;Gradient_100_0.1_superlinear;146654;7.58732
N-t59b11xx;13;Gradient_100_0.1_superlinear;208280;9.88571
N-t59f11xx;3;Gradient_100_0.1_superlinear;122456;9.42124
N-stabu75;6;Gradient_100_0.1_superlinear;549658;31.0984
N-t59b11xx;12;Gradient_100_0.1_superlinear;208300;9.83582
N-stabu74;13;Gradient_100_0.1_superlinear;536009;30.8119
N-stabu75;1;Gradient_100_0.1_superlinear;550074;30.9953
N-stabu70;9;Gradient_100_0.1_superlinear;359740;29.4006
N-stabu70;7;Gradient_100_0.1_superlinear;360782;29.5319
N-stabu70;10;Gradient_100_0.1_superlinear;359154;29.664
N-stabu70;2;Gradient_100_0.1_superlinear;359674;25.6655
N-t59b11xx;9;Gradient_100_0.1_superlinear;208240;9.46207
N-stabu70;6;Gradient_100_0.1_superlinear;359652;29.7462
N-t59n11xx;10;Gradient_100_0.1_superlinear;20862;7.82695
N-stabu75;2;Gradient_100_0.1_superlinear;547976;30.9123
N-stabu70;5;Gradient_100_0.1_superlinear;359499;29.6217
N-t59n11xx;12;Gradient_100_0.1_superlinear;20869;9.37196
N-t59f11xx;12;Gradient_100_0.1_superlinear;122356;9.71296
N-stabu74;20;Gradient_100_0.1_superlinear;536569;31.1728
N-t59n11xx;1;Gradient_100_0.1_superlinear;20870;7.70274
N-t59i11xx;7;Gradient_100_0.1_superlinear;8259924;9.76062
N-t59n11xx;4;Gradient_100_0.1_superlinear;20866;9.56319
N-t59n11xx;18;Gradient_100_0.1_superlinear;20872;9.66855
N-stabu74;3;Gradient_100_0.1_superlinear;536917;29.4865
N-stabu70;14;Gradient_100_0.1_superlinear;359070;29.5548
N-t59f11xx;13;Gradient_100_0.1_superlinear;122473;9.76382
N-t59b11xx;20;Gradient_100_0.1_superlinear;208320;10.848
N-t65b11xx;4;Gradient_100_0.1_superlinear;353026;9.97925
N-stabu70;16;Gradient_100_0.1_superlinear;359666;30.9214
N-stabu75;15;Gradient_100_0.1_superlinear;549540;30.8802
N-stabu74;12;Gradient_100_0.1_superlinear;536669;31.1704
N-t59d11xx;16;Gradient_100_0.1_superlinear;146644;9.38299
N-t59i11xx;6;Gradient_100_0.1_superlinear;8257350;8.05172
N-stabu70;11;Gradient_100_0.1_superlinear;359560;29.7332
N-t59n11xx;2;Gradient_100_0.1_superlinear;20871;9.75158
N-stabu74;2;Gradient_100_0.1_superlinear;537925;29.8662
N-t59b11xx;11;Gradient_100_0.1_superlinear;208310;8.26933
N-t59b11xx;19;Gradient_100_0.1_superlinear;208290;9.41231
N-t59n11xx;7;Gradient_100_0.1_superlinear;20868;9.80903
N-t65b11xx;2;Gradient_100_0.1_superlinear;354135;10.1096
N-t59n11xx;13;Gradient_100_0.1_superlinear;20861;9.40424
N-t59d11xx;3;Gradient_100_0.1_superlinear;146620;7.91068
N-t59d11xx;17;Gradient_100_0.1_superlinear;146665;9.5281
N-stabu74;14;Gradient_100_0.1_superlinear;536256;31.0248
N-t59d11xx;9;Gradient_100_0.1_superlinear;147096;8.16833
N-t65b11xx;12;Gradient_100_0.1_superlinear;354696;8.32982
N-t59b11xx;14;Gradient_100_0.1_superlinear;208350;8.34566
N-t59n11xx;3;Gradient_100_0.1_superlinear;20857;9.3601
N-t59d11xx;20;Gradient_100_0.1_superlinear;146644;9.7454
N-t65b11xx;10;Gradient_100_0.1_superlinear;354675;9.66389
N-t59i11xx;17;Gradient_100_0.1_superlinear;8257907;9.6867
N-t59n11xx;16;Gradient_100_0.1_superlinear;20869;7.75371
N-t59i11xx;3;Gradient_100_0.1_superlinear;8259943;7.71362
N-t59f11xx;8;Gradient_100_0.1_superlinear;122457;9.6096
N-t65d11xx;5;Gradient_100_0.1_superlinear;235941;9.50041
N-stabu75;8;Gradient_100_0.1_superlinear;547496;30.8617
N-t59n11xx;6;Gradient_100_0.1_superlinear;20859;9.8644
N-stabu75;16;Gradient_100_0.1_superlinear;548019;29.8259
N-t65b11xx;7;Gradient_100_0.1_superlinear;355050;9.79265
N-t65d11xx;13;Gradient_100_0.1_superlinear;236972;9.48148
N-t59i11xx;13;Gradient_100_0.1_superlinear;8260170;9.77214
N-t59i11xx;4;Gradient_100_0.1_superlinear;8257483;9.52975
N-t59i11xx;11;Gradient_100_0.1_superlinear;8257694;9.67263
N-t59b11xx;16;Gradient_100_0.1_superlinear;208350;9.87758
N-t59f11xx;6;Gradient_100_0.1_superlinear;122393;9.38918
N-t59n11xx;20;Gradient_100_0.1_superlinear;20862;9.45668
N-t59f11xx;15;Gradient_100_0.1_superlinear;122472;9.43158
N-t59n11xx;8;Gradient_100_0.1_superlinear;20862;9.34547
N-t65f11xx;10;Gradient_100_0.1_superlinear;215948;7.84287
N-t65f11xx;11;Gradient_100_0.1_superlinear;216032;7.87251
N-t59d11xx;8;Gradient_100_0.1_superlinear;147098;7.56539
N-stabu75;17;Gradient_100_0.1_superlinear;549321;29.6062
N-t59i11xx;14;Gradient_100_0.1_superlinear;8257831;9.79914
N-t65d11xx;2;Gradient_100_0.1_superlinear;236790;7.87543
N-t65b11xx;18;Gradient_100_0.1_superlinear;353765;10.1871
N-t59d11xx;5;Gradient_100_0.1_superlinear;146653;7.99384
N-t65b11xx;6;Gradient_100_0.1_superlinear;355052;9.76259
N-t59f11xx;11;Gradient_100_0.1_superlinear;122445;8.02851
N-t59i11xx;16;Gradient_100_0.1_superlinear;8257959;9.31299
N-t65d11xx;4;Gradient_100_0.1_superlinear;236971;9.48763
N-t59f11xx;17;Gradient_100_0.1_superlinear;122486;8.24385
N-t59i11xx;15;Gradient_100_0.1_superlinear;8258141;9.62034
N-t59f11xx;5;Gradient_100_0.1_superlinear;122369;8.0659
N-t65b11xx;19;Gradient_100_0.1_superlinear;353991;7.88562
N-t59n11xx;9;Gradient_100_0.1_superlinear;20870;9.82348
N-t59f11xx;14;Gradient_100_0.1_superlinear;122366;9.17019
N-t65f11xx;13;Gradient_100_0.1_superlinear;216103;9.42903
N-t59i11xx;2;Gradient_100_0.1_superlinear;8257522;8.11076
N-t59f11xx;4;Gradient_100_0.1_superlinear;122462;9.37937
N-t65f11xx;6;Gradient_100_0.1_superlinear;216164;9.42386
N-t59f11xx;16;Gradient_100_0.1_superlinear;122482;9.43999
N-t65i11xx;8;Gradient_100_0.1_superlinear;14455485;10.1649
N-t59n11xx;15;Gradient_100_0.1_superlinear;20870;9.76769
N-t59f11xx;9;Gradient_100_0.1_superlinear;122471;9.37245
N-t65b11xx;17;Gradient_100_0.1_superlinear;354659;9.98211
N-t59i11xx;1;Gradient_100_0.1_superlinear;8260157;8.19904
N-t59n11xx;11;Gradient_100_0.1_superlinear;20870;9.42433
N-t65i11xx;17;Gradient_100_0.1_superlinear;14451979;10.1089
N-t59f11xx;7;Gradient_100_0.1_superlinear;122457;9.80388
N-t59f11xx;2;Gradient_100_0.1_superlinear;122481;9.73801
N-stabu75;14;Gradient_100_0.1_superlinear;548007;29.9348
N-t65b11xx;5;Gradient_100_0.1_superlinear;354705;9.63987
N-t59f11xx;19;Gradient_100_0.1_superlinear;122501;9.85196
N-t65d11xx;12;Gradient_100_0.1_superlinear;235881;9.51415
N-t65d11xx;18;Gradient_100_0.1_superlinear;235823;7.8802
N-t59n11xx;17;Gradient_100_0.1_superlinear;20871;9.4917
N-t59i11xx;19;Gradient_100_0.1_superlinear;8259901;9.7335
N-t59f11xx;20;Gradient_100_0.1_superlinear;122468;8.21186
N-t65f11xx;18;Gradient_100_0.1_superlinear;216074;7.7312
N-t59n11xx;19;Gradient_100_0.1_superlinear;20866;7.80443
N-t65b11xx;9;Gradient_100_0.1_superlinear;352443;9.93769
N-t59f11xx;18;Gradient_100_0.1_superlinear;122456;9.76477
N-t65l11xx;14;Gradient_100_0.1_superlinear;16719;9.7804
N-t65l11xx;3;Gradient_100_0.1_superlinear;16714;8.32161
N-t65f11xx;7;Gradient_100_0.1_superlinear;215990;9.3614
N-t65d11xx;17;Gradient_100_0.1_superlinear;237057;9.49991
N-t65f11xx;8;Gradient_100_0.1_superlinear;215898;9.39529
N-t65n11xx;8;Gradient_100_0.1_superlinear;32052;8.21523
N-t65f11xx;9;Gradient_100_0.1_superlinear;216125;9.43011
N-t65b11xx;14;Gradient_100_0.1_superlinear;354111;8.63351
N-t65d11xx;14;Gradient_100_0.1_superlinear;233919;9.7067
N-t65n11xx;3;Gradient_100_0.1_superlinear;32081;9.6351
N-t59i11xx;9;Gradient_100_0.1_superlinear;8257295;8.19754
N-t65f11xx;5;Gradient_100_0.1_superlinear;216162;9.80394
N-stabu75;18;Gradient_100_0.1_superlinear;548085;30.147
N-t65i11xx;2;Gradient_100_0.1_superlinear;14448787;9.73589
N-t65f11xx;19;Gradient_100_0.1_superlinear;215991;9.7278
N-t65b11xx;20;Gradient_100_0.1_superlinear;355001;9.93496
N-t65d11xx;6;Gradient_100_0.1_superlinear;235759;7.96017
N-t65d11xx;10;Gradient_100_0.1_superlinear;235870;9.56938
N-t59i11xx;8;Gradient_100_0.1_superlinear;8257506;9.7201
N-t65i11xx;3;Gradient_100_0.1_superlinear;14450545;10.1498
N-t59i11xx;18;Gradient_100_0.1_superlinear;8257219;9.74653
N-t65b11xx;15;Gradient_100_0.1_superlinear;354776;10.0811
N-t65n11xx;14;Gradient_100_0.1_superlinear;32076;9.77755
N-t65f11xx;15;Gradient_100_0.1_superlinear;216177;9.50561
N-t65f11xx;1;Gradient_100_0.1_superlinear;215946;9.54161
N-t59i11xx;12;Gradient_100_0.1_superlinear;8257521;9.70652
N-t65i11xx;11;Gradient_100_0.1_superlinear;14456527;9.69107
N-t65d11xx;3;Gradient_100_0.1_superlinear;236972;9.46567
N-t65l11xx;1;Gradient_100_0.1_superlinear;16671;9.30054
N-t65n11xx;12;Gradient_100_0.1_superlinear;32083;9.59092
N-t65l11xx;2;Gradient_100_0.1_superlinear;16719;9.42352
N-t65b11xx;16;Gradient_100_0.1_superlinear;354670;10.0698
N-t65i11xx;20;Gradient_100_0.1_superlinear;14453647;8.40715
N-t65n11xx;1;Gradient_100_0.1_superlinear;32049;9.83363
N-t65l11xx;17;Gradient_100_0.1_superlinear;16694;9.50948
N-t59n11xx;5;Gradient_100_0.1_superlinear;20870;9.45329
N-t65n11xx;5;Gradient_100_0.1_superlinear;32080;9.67003
N-t65f11xx;14;Gradient_100_0.1_superlinear;216054;9.394
N-t65f11xx;17;Gradient_100_0.1_superlinear;216158;9.85439
N-t65i11xx;4;Gradient_100_0.1_superlinear;14456766;9.67501
N-t65b11xx;3;Gradient_100_0.1_superlinear;353567;9.65235
N-t65n11xx;17;Gradient_100_0.1_superlinear;32035;8.34175
N-t65w11xx;13;Gradient_100_0.1_superlinear;137720401;9.86027
N-t65l11xx;19;Gradient_100_0.1_superlinear;16671;9.59009
N-t65d11xx;8;Gradient_100_0.1_superlinear;236961;7.8698
N-t59n11xx;14;Gradient_100_0.1_superlinear;20872;9.81365
N-t65b11xx;1;Gradient_100_0.1_superlinear;354256;9.9414
N-t65l11xx;4;Gradient_100_0.1_superlinear;16669;7.82036
N-t65i11xx;9;Gradient_100_0.1_superlinear;14454464;10.1342
N-t65l11xx;18;Gradient_100_0.1_superlinear;16702;9.36424
N-t65d11xx;11;Gradient_100_0.1_superlinear;236917;8.172
N-t65b11xx;11;Gradient_100_0.1_superlinear;354719;9.61743
N-t65l11xx;11;Gradient_100_0.1_superlinear;16669;7.77113
N-t65n11xx;4;Gradient_100_0.1_superlinear;32080;9.7387
N-t65w11xx;18;Gradient_100_0.1_superlinear;137712219;10.3031
N-t65i11xx;16;Gradient_100_0.1_superlinear;14457085;9.65089
N-t65d11xx;16;Gradient_100_0.1_superlinear;236946;9.52613
N-t65f11xx;12;Gradient_100_0.1_superlinear;216021;9.83879
N-t65b11xx;13;Gradient_100_0.1_superlinear;354055;10.0892
N-t65w11xx;10;Gradient_100_0.1_superlinear;137663530;9.76954
N-t65i11xx;5;Gradient_100_0.1_superlinear;14454320;10.5427
N-t65b11xx;8;Gradient_100_0.1_superlinear;354665;10.1124
N-t65i11xx;14;Gradient_100_0.1_superlinear;14455432;9.68766
N-t65w11xx;8;Gradient_100_0.1_superlinear;137671912;9.8404
N-t65f11xx;3;Gradient_100_0.1_superlinear;216246;9.8615
N-t65d11xx;1;Gradient_100_0.1_superlinear;236945;8.26269
N-t65i11xx;12;Gradient_100_0.1_superlinear;14455388;8.54999
N-t65d11xx;20;Gradient_100_0.1_superlinear;237064;9.91959
N-t65i11xx;10;Gradient_100_0.1_superlinear;14454211;10.1075
N-t65d11xx;9;Gradient_100_0.1_superlinear;237050;8.45644
N-t69r11xx;1;Gradient_100_0.1_superlinear;767841;9.35288
N-t65l11xx;8;Gradient_100_0.1_superlinear;16671;9.59824
N-t65i11xx;7;Gradient_100_0.1_superlinear;14452346;10.115
N-t65d11xx;7;Gradient_100_0.1_superlinear;236960;8.29586
N-t65i11xx;1;Gradient_100_0.1_superlinear;14454703;10.0571
N-t65d11xx;19;Gradient_100_0.1_superlinear;237034;7.78432
N-t65w11xx;12;Gradient_100_0.1_superlinear;137691997;10.0144
N-t65d11xx;15;Gradient_100_0.1_superlinear;236947;8.34323
